"Gene > Systematic Name","Gene > Length","Gene > Transcripts > Length","Gene > Name"
"YDR077W","1017","1398","Suppression of Exponential Defect"
"YDR077W","1017","1398","Suppression of Exponential Defect"
"YDR077W","1017","1403","Suppression of Exponential Defect"
"YDR077W","1017","1415","Suppression of Exponential Defect"
"YDR077W","1017","1420","Suppression of Exponential Defect"
"YDR077W","1017","2037","Suppression of Exponential Defect"
"YDR077W","1017","2708","Suppression of Exponential Defect"
"YDR078C","672","891","Suppressor of HydroxyUrea sensitivity"
"YDR078C","672","891","Suppressor of HydroxyUrea sensitivity"
"YDR079C-A","219","255",""
"YDR079C-A","219","299",""
"YDR079C-A","219","405",""
"YDR079C-A","219","410",""
"YDR079C-A","219","428",""
"YDR079C-A","219","439",""
"YDR079C-A","219","452",""
"YDR079C-A","219","454",""
"YDR079C-A","219","496",""
"YDR079C-A","219","535",""
"YDR079C-A","219","594",""
"YDR079W","336","466","PETite colonies"
"YDR079W","336","476","PETite colonies"
"YDR079W","336","477","PETite colonies"
"YDR079W","336","487","PETite colonies"
"YDR079W","336","566","PETite colonies"
"YDR079W","336","568","PETite colonies"
"YDR079W","336","572","PETite colonies"
"YDR079W","336","578","PETite colonies"
"YDR079W","336","639","PETite colonies"
"YDR079W","336","657","PETite colonies"
"YDR079W","336","670","PETite colonies"
"YDR079W","336","1291","PETite colonies"
"YDR080W","2979","3598","Vacuolar Protein Sorting"
"YDR081C","2778","2892","Pyruvate DeCarboxylase"
"YDR081C","2778","2899","Pyruvate DeCarboxylase"
"YDR082W","1485","1738","Suppressor of cdc ThirteeN"
"YDR082W","1485","1759","Suppressor of cdc ThirteeN"
"YDR083W","1179","1307","Ribosomal RNA Processing"
"YDR083W","1179","1322","Ribosomal RNA Processing"
"YDR083W","1179","1332","Ribosomal RNA Processing"
"YDR084C","600","965","Tlg2-Vesicle Protein"
"YDR084C","600","2036","Tlg2-Vesicle Protein"
"YDR085C","1863","2137","Alpha-Factor Receptor regulator"
"YDR086C","243","389","Sec Sixty-one Suppressor"
"YDR086C","243","396","Sec Sixty-one Suppressor"
"YDR086C","243","410","Sec Sixty-one Suppressor"
"YDR086C","243","430","Sec Sixty-one Suppressor"
"YDR086C","243","437","Sec Sixty-one Suppressor"
"YDR086C","243","441","Sec Sixty-one Suppressor"
"YDR086C","243","445","Sec Sixty-one Suppressor"
"YDR086C","243","447","Sec Sixty-one Suppressor"
"YDR086C","243","447","Sec Sixty-one Suppressor"
"YDR086C","243","451","Sec Sixty-one Suppressor"
"YDR086C","243","452","Sec Sixty-one Suppressor"
"YDR086C","243","452","Sec Sixty-one Suppressor"
"YDR086C","243","453","Sec Sixty-one Suppressor"
"YDR086C","243","459","Sec Sixty-one Suppressor"
"YDR086C","243","461","Sec Sixty-one Suppressor"
"YDR086C","243","466","Sec Sixty-one Suppressor"
"YDR086C","243","466","Sec Sixty-one Suppressor"
"YDR086C","243","468","Sec Sixty-one Suppressor"
"YDR086C","243","474","Sec Sixty-one Suppressor"
"YDR086C","243","475","Sec Sixty-one Suppressor"
"YDR086C","243","475","Sec Sixty-one Suppressor"
"YDR086C","243","478","Sec Sixty-one Suppressor"
"YDR086C","243","479","Sec Sixty-one Suppressor"
"YDR086C","243","480","Sec Sixty-one Suppressor"
"YDR086C","243","481","Sec Sixty-one Suppressor"
"YDR086C","243","486","Sec Sixty-one Suppressor"
"YDR086C","243","488","Sec Sixty-one Suppressor"
"YDR086C","243","489","Sec Sixty-one Suppressor"
"YDR086C","243","489","Sec Sixty-one Suppressor"
"YDR086C","243","493","Sec Sixty-one Suppressor"
"YDR086C","243","495","Sec Sixty-one Suppressor"
"YDR086C","243","498","Sec Sixty-one Suppressor"
"YDR086C","243","498","Sec Sixty-one Suppressor"
"YDR086C","243","498","Sec Sixty-one Suppressor"
"YDR086C","243","500","Sec Sixty-one Suppressor"
"YDR086C","243","500","Sec Sixty-one Suppressor"
"YDR086C","243","503","Sec Sixty-one Suppressor"
"YDR086C","243","504","Sec Sixty-one Suppressor"
"YDR086C","243","504","Sec Sixty-one Suppressor"
"YDR086C","243","509","Sec Sixty-one Suppressor"
"YDR086C","243","509","Sec Sixty-one Suppressor"
"YDR086C","243","510","Sec Sixty-one Suppressor"
"YDR086C","243","515","Sec Sixty-one Suppressor"
"YDR086C","243","517","Sec Sixty-one Suppressor"
"YDR086C","243","520","Sec Sixty-one Suppressor"
"YDR086C","243","521","Sec Sixty-one Suppressor"
"YDR086C","243","522","Sec Sixty-one Suppressor"
"YDR086C","243","526","Sec Sixty-one Suppressor"
"YDR086C","243","527","Sec Sixty-one Suppressor"
"YDR086C","243","529","Sec Sixty-one Suppressor"
"YDR086C","243","532","Sec Sixty-one Suppressor"
"YDR086C","243","532","Sec Sixty-one Suppressor"
"YDR086C","243","532","Sec Sixty-one Suppressor"
"YDR086C","243","537","Sec Sixty-one Suppressor"
"YDR086C","243","538","Sec Sixty-one Suppressor"
"YDR086C","243","538","Sec Sixty-one Suppressor"
"YDR086C","243","543","Sec Sixty-one Suppressor"
"YDR086C","243","543","Sec Sixty-one Suppressor"
"YDR086C","243","544","Sec Sixty-one Suppressor"
"YDR086C","243","549","Sec Sixty-one Suppressor"
"YDR086C","243","549","Sec Sixty-one Suppressor"
"YDR086C","243","554","Sec Sixty-one Suppressor"
"YDR086C","243","793","Sec Sixty-one Suppressor"
"YDR086C","243","999","Sec Sixty-one Suppressor"
"YDR087C","837","937","Ribosomal RNA Processing"
"YDR087C","837","1030","Ribosomal RNA Processing"
"YDR087C","837","1054","Ribosomal RNA Processing"
"YDR088C","1149","1520","Synergistic Lethal with U5 snRNA"
"YDR088C","1149","1555","Synergistic Lethal with U5 snRNA"
"YDR089W","2610","2726","Vacuole Transporter Chaperone"
"YDR089W","2610","2745","Vacuole Transporter Chaperone"
"YDR089W","2610","2781","Vacuole Transporter Chaperone"
"YDR089W","2610","2823","Vacuole Transporter Chaperone"
"YDR090C","933","1427","Ionic Liquid Tolerance"
"YDR090C","933","1438","Ionic Liquid Tolerance"
"YDR091C","1827","2219","RNase L Inhibitor"
"YDR091C","1827","2224","RNase L Inhibitor"
"YDR091C","1827","2229","RNase L Inhibitor"
"YDR091C","1827","2234","RNase L Inhibitor"
"YDR091C","1827","2275","RNase L Inhibitor"
"YDR092W","730","805","UBiquitin-Conjugating"
"YDR092W","730","821","UBiquitin-Conjugating"
"YDR092W","730","826","UBiquitin-Conjugating"
"YDR092W","730","831","UBiquitin-Conjugating"
"YDR092W","730","834","UBiquitin-Conjugating"
"YDR092W","730","842","UBiquitin-Conjugating"
"YDR092W","730","848","UBiquitin-Conjugating"
"YDR092W","730","852","UBiquitin-Conjugating"
"YDR092W","730","853","UBiquitin-Conjugating"
"YDR092W","730","858","UBiquitin-Conjugating"
"YDR092W","730","865","UBiquitin-Conjugating"
"YDR092W","730","865","UBiquitin-Conjugating"
"YDR092W","730","880","UBiquitin-Conjugating"
"YDR092W","730","882","UBiquitin-Conjugating"
"YDR092W","730","888","UBiquitin-Conjugating"
"YDR092W","730","892","UBiquitin-Conjugating"
"YDR092W","730","897","UBiquitin-Conjugating"
"YDR092W","730","901","UBiquitin-Conjugating"
"YDR092W","730","907","UBiquitin-Conjugating"
"YDR092W","730","909","UBiquitin-Conjugating"
"YDR092W","730","915","UBiquitin-Conjugating"
"YDR092W","730","981","UBiquitin-Conjugating"
"YDR092W","730","982","UBiquitin-Conjugating"
"YDR092W","730","1236","UBiquitin-Conjugating"
"YDR094W","336","3455",""
"YDR094W","336","3561",""
"YDR096W","2685","2930","GIg1-2 Suppressor"
"YDR097C","3729","3882","MutS Homolog"
"YDR097C","3729","3903","MutS Homolog"
"YDR098C","753","1064","GlutaRedoXin"
"YDR098C","753","1096","GlutaRedoXin"
"YDR099W","822","2110","Brain Modulosignalin Homolog"
"YDR099W","822","2114","Brain Modulosignalin Homolog"
"YDR100W","432","564","Tlg2-Vesicle Protein"
"YDR100W","432","570","Tlg2-Vesicle Protein"
"YDR100W","432","575","Tlg2-Vesicle Protein"
"YDR100W","432","578","Tlg2-Vesicle Protein"
"YDR100W","432","583","Tlg2-Vesicle Protein"
"YDR100W","432","584","Tlg2-Vesicle Protein"
"YDR100W","432","589","Tlg2-Vesicle Protein"
"YDR100W","432","598","Tlg2-Vesicle Protein"
"YDR100W","432","598","Tlg2-Vesicle Protein"
"YDR100W","432","603","Tlg2-Vesicle Protein"
"YDR100W","432","604","Tlg2-Vesicle Protein"
"YDR100W","432","630","Tlg2-Vesicle Protein"
"YDR100W","432","1595","Tlg2-Vesicle Protein"
"YDR100W","432","2211","Tlg2-Vesicle Protein"
"YDR101C","1782","1964","Associated with Ribosomal eXport complex"
"YDR101C","1782","1972","Associated with Ribosomal eXport complex"
"YDR103W","2754","3410","STErile"
"YDR104C","3738","3822","SPOrulation"
"YDR105C","1422","1739",""
"YDR105C","1422","1745",""
"YDR105C","1422","1755",""
"YDR105C","1422","1770",""
"YDR106W","855","923","Actin-Related Protein"
"YDR107C","2019","2240","TransMembrane Nine"
"YDR107C","2019","2409","TransMembrane Nine"
"YDR108W","2097","2255","TRapp Subunit"
"YDR108W","2097","3207","TRapp Subunit"
"YDR109C","2148","2554",""
"YDR110W","1701","1940","FOrk Blocking less"
"YDR110W","1701","1957","FOrk Blocking less"
"YDR111C","1524","2096","ALanine Transaminase"
"YDR111C","1524","2203","ALanine Transaminase"
"YDR113C","1122","1309","Precocious Dissociation of Sisters"
"YDR113C","1122","1526","Precocious Dissociation of Sisters"
"YDR115W","318","418","Mitochondrial oRganization of gene eXpression (MIOREX)"
"YDR115W","318","429","Mitochondrial oRganization of gene eXpression (MIOREX)"
"YDR115W","318","434","Mitochondrial oRganization of gene eXpression (MIOREX)"
"YDR115W","318","444","Mitochondrial oRganization of gene eXpression (MIOREX)"
"YDR115W","318","446","Mitochondrial oRganization of gene eXpression (MIOREX)"
"YDR115W","318","450","Mitochondrial oRganization of gene eXpression (MIOREX)"
"YDR115W","318","451","Mitochondrial oRganization of gene eXpression (MIOREX)"
"YDR115W","318","452","Mitochondrial oRganization of gene eXpression (MIOREX)"
"YDR115W","318","457","Mitochondrial oRganization of gene eXpression (MIOREX)"
"YDR115W","318","457","Mitochondrial oRganization of gene eXpression (MIOREX)"
"YDR115W","318","462","Mitochondrial oRganization of gene eXpression (MIOREX)"
"YDR115W","318","462","Mitochondrial oRganization of gene eXpression (MIOREX)"
"YDR115W","318","467","Mitochondrial oRganization of gene eXpression (MIOREX)"
"YDR115W","318","472","Mitochondrial oRganization of gene eXpression (MIOREX)"
"YDR115W","318","477","Mitochondrial oRganization of gene eXpression (MIOREX)"
"YDR115W","318","514","Mitochondrial oRganization of gene eXpression (MIOREX)"
"YDR115W","318","542","Mitochondrial oRganization of gene eXpression (MIOREX)"
"YDR115W","318","553","Mitochondrial oRganization of gene eXpression (MIOREX)"
"YDR115W","318","568","Mitochondrial oRganization of gene eXpression (MIOREX)"
"YDR115W","318","713","Mitochondrial oRganization of gene eXpression (MIOREX)"
"YDR115W","318","721","Mitochondrial oRganization of gene eXpression (MIOREX)"
"YDR116C","858","960","Mitochondrial Ribosomal Protein, Large subunit"
"YDR116C","858","968","Mitochondrial Ribosomal Protein, Large subunit"
"YDR116C","858","978","Mitochondrial Ribosomal Protein, Large subunit"
"YDR116C","858","999","Mitochondrial Ribosomal Protein, Large subunit"
"YDR116C","858","1040","Mitochondrial Ribosomal Protein, Large subunit"
"YDR116C","858","1097","Mitochondrial Ribosomal Protein, Large subunit"
"YDR117C","1698","1749","Translation Machinery Associated"
"YDR117C","1698","1781","Translation Machinery Associated"
"YDR117C","1698","1786","Translation Machinery Associated"
"YDR117C","1698","1792","Translation Machinery Associated"
"YDR117C","1698","1797","Translation Machinery Associated"
"YDR117C","1698","1800","Translation Machinery Associated"
"YDR117C","1698","1805","Translation Machinery Associated"
"YDR117C","1698","1931","Translation Machinery Associated"
"YDR117C","1698","2002","Translation Machinery Associated"
"YDR118W-A","117","1288",""
"YDR118W-A","117","1651",""
"YDR119W","2307","2439","Vacuolar Basic Amino acid transporter"
"YDR119W","2307","2441","Vacuolar Basic Amino acid transporter"
"YDR119W","2307","2446","Vacuolar Basic Amino acid transporter"
"YDR119W","2307","2474","Vacuolar Basic Amino acid transporter"
"YDR119W","2307","2490","Vacuolar Basic Amino acid transporter"
"YDR119W-A","201","449",""
"YDR119W-A","201","451",""
"YDR119W-A","201","462",""
"YDR119W-A","201","475",""
"YDR119W-A","201","477",""
"YDR119W-A","201","480",""
"YDR119W-A","201","485",""
"YDR119W-A","201","486",""
"YDR119W-A","201","490",""
"YDR119W-A","201","490",""
"YDR119W-A","201","495",""
"YDR119W-A","201","496",""
"YDR119W-A","201","498",""
"YDR119W-A","201","500",""
"YDR119W-A","201","501",""
"YDR119W-A","201","505",""
"YDR119W-A","201","509",""
"YDR119W-A","201","510",""
"YDR119W-A","201","514",""
"YDR119W-A","201","515",""
"YDR119W-A","201","515",""
"YDR119W-A","201","520",""
"YDR119W-A","201","534",""
"YDR119W-A","201","567",""
"YDR119W-A","201","597",""
"YDR120C","1713","1922","tRNA Methyltransferase"
"YDR120C","1713","1927","tRNA Methyltransferase"
"YDR121W","591","796","DNA Polymerase B (II) subunit"
"YDR121W","591","809","DNA Polymerase B (II) subunit"
"YDR121W","591","815","DNA Polymerase B (II) subunit"
"YDR121W","591","826","DNA Polymerase B (II) subunit"
"YDR121W","591","832","DNA Polymerase B (II) subunit"
"YDR121W","591","832","DNA Polymerase B (II) subunit"
"YDR121W","591","838","DNA Polymerase B (II) subunit"
"YDR121W","591","857","DNA Polymerase B (II) subunit"
"YDR121W","591","956","DNA Polymerase B (II) subunit"
"YDR122W","3195","3646","KINase"
"YDR123C","915","1537","INOsitol requiring"
"YDR123C","915","1728","INOsitol requiring"
"YDR123C","915","1728","INOsitol requiring"
"YDR124W","975","1774",""
"YDR124W","975","1894",""
"YDR126W","1011","1303","Spore Wall Formation"
"YDR126W","1011","1316","Spore Wall Formation"
"YDR127W","4767","4912","AROmatic amino acid requiring"
"YDR129C","2040","2206","Suppressor of ACtin"
"YDR129C","2040","2222","Suppressor of ACtin"
"YDR129C","2040","2235","Suppressor of ACtin"
"YDR129C","2040","2670","Suppressor of ACtin"
"YDR129C","2040","2818","Suppressor of ACtin"
"YDR130C","876","1212","Filaments In between Nuclei"
"YDR130C","876","1281","Filaments In between Nuclei"
"YDR131C","1671","1824",""
"YDR131C","1671","1844",""
"YDR132C","1488","1782","Mitochondrial oRganization of gene eXpression (MIOREX)"
"YDR132C","1488","1807","Mitochondrial oRganization of gene eXpression (MIOREX)"
"YDR133C","336","653",""
"YDR133C","336","722",""
"YDR133C","336","989",""
"YDR133C","336","1064",""
"YDR135C","4548","4696","Yeast Cadmium Factor"
"YDR137W","1992","2221","Reduced Growth Phenotype"
"YDR137W","1992","2253","Reduced Growth Phenotype"
"YDR138W","2259","2905","HyPerRecombination"
"YDR139C","307","507","Related to UBiquitin"
"YDR139C","307","507","Related to UBiquitin"
"YDR139C","307","512","Related to UBiquitin"
"YDR139C","307","559","Related to UBiquitin"
"YDR139C","307","601","Related to UBiquitin"
"YDR139C","307","735","Related to UBiquitin"
"YDR140W","666","735","Methyltransferase"
"YDR140W","666","879","Methyltransferase"
"YDR140W","666","1440","Methyltransferase"
"YDR142C","1128","1466","PEroXin"
"YDR142C","1128","1470","PEroXin"
"YDR143C","1833","2185","Sir Antagonist"
"YDR143C","1833","2199","Sir Antagonist"
"YDR144C","1791","2006","Multicopy suppressor of Kex2 Cold sensitivity"
"YDR144C","1791","2014","Multicopy suppressor of Kex2 Cold sensitivity"
"YDR144C","1791","2212","Multicopy suppressor of Kex2 Cold sensitivity"
"YDR144C","1791","2320","Multicopy suppressor of Kex2 Cold sensitivity"
"YDR145W","1620","1908","TATA binding protein-Associated Factor"
"YDR145W","1620","1989","TATA binding protein-Associated Factor"
"YDR146C","2130","2362","SWItching deficient"
"YDR147W","1605","2090","Ethanolamine KInase"
"YDR147W","1605","2094","Ethanolamine KInase"
"YDR148C","1392","1541","alpha-KetoGlutarate Dehydrogenase"
"YDR148C","1392","1571","alpha-KetoGlutarate Dehydrogenase"
"YDR148C","1392","1577","alpha-KetoGlutarate Dehydrogenase"
"YDR148C","1392","1585","alpha-KetoGlutarate Dehydrogenase"
"YDR148C","1392","1607","alpha-KetoGlutarate Dehydrogenase"
"YDR148C","1392","1625","alpha-KetoGlutarate Dehydrogenase"
"YDR148C","1392","1661","alpha-KetoGlutarate Dehydrogenase"
"YDR148C","1392","1672","alpha-KetoGlutarate Dehydrogenase"
"YDR148C","1392","1708","alpha-KetoGlutarate Dehydrogenase"
"YDR148C","1392","1709","alpha-KetoGlutarate Dehydrogenase"
"YDR148C","1392","1730","alpha-KetoGlutarate Dehydrogenase"
"YDR148C","1392","1739","alpha-KetoGlutarate Dehydrogenase"
"YDR148C","1392","1745","alpha-KetoGlutarate Dehydrogenase"
"YDR148C","1392","1745","alpha-KetoGlutarate Dehydrogenase"
"YDR148C","1392","1754","alpha-KetoGlutarate Dehydrogenase"
"YDR148C","1392","1928","alpha-KetoGlutarate Dehydrogenase"
"YDR148C","1392","1971","alpha-KetoGlutarate Dehydrogenase"
"YDR151C","978","1469","Cysteine-Three-Histidine"
"YDR151C","978","1472","Cysteine-Three-Histidine"
"YDR152W","798","853","Genetically Interacts with Ribosomal genes"
"YDR152W","798","858","Genetically Interacts with Ribosomal genes"
"YDR152W","798","859","Genetically Interacts with Ribosomal genes"
"YDR152W","798","864","Genetically Interacts with Ribosomal genes"
"YDR152W","798","870","Genetically Interacts with Ribosomal genes"
"YDR152W","798","899","Genetically Interacts with Ribosomal genes"
"YDR152W","798","1087","Genetically Interacts with Ribosomal genes"
"YDR152W","798","1816","Genetically Interacts with Ribosomal genes"
"YDR153C","1236","1479","Epsin N-Terminal homology"
"YDR153C","1236","1553","Epsin N-Terminal homology"
"YDR153C","1236","1613","Epsin N-Terminal homology"
"YDR154C","351","630",""
"YDR154C","351","653",""
"YDR155C","489","595","Cyclosporin A-sensitive Proline Rotamase"
"YDR155C","489","596","Cyclosporin A-sensitive Proline Rotamase"
"YDR155C","489","601","Cyclosporin A-sensitive Proline Rotamase"
"YDR155C","489","606","Cyclosporin A-sensitive Proline Rotamase"
"YDR155C","489","610","Cyclosporin A-sensitive Proline Rotamase"
"YDR155C","489","611","Cyclosporin A-sensitive Proline Rotamase"
"YDR155C","489","612","Cyclosporin A-sensitive Proline Rotamase"
"YDR155C","489","616","Cyclosporin A-sensitive Proline Rotamase"
"YDR155C","489","618","Cyclosporin A-sensitive Proline Rotamase"
"YDR155C","489","618","Cyclosporin A-sensitive Proline Rotamase"
"YDR155C","489","623","Cyclosporin A-sensitive Proline Rotamase"
"YDR155C","489","623","Cyclosporin A-sensitive Proline Rotamase"
"YDR155C","489","625","Cyclosporin A-sensitive Proline Rotamase"
"YDR155C","489","628","Cyclosporin A-sensitive Proline Rotamase"
"YDR155C","489","628","Cyclosporin A-sensitive Proline Rotamase"
"YDR155C","489","630","Cyclosporin A-sensitive Proline Rotamase"
"YDR155C","489","633","Cyclosporin A-sensitive Proline Rotamase"
"YDR155C","489","637","Cyclosporin A-sensitive Proline Rotamase"
"YDR155C","489","642","Cyclosporin A-sensitive Proline Rotamase"
"YDR155C","489","642","Cyclosporin A-sensitive Proline Rotamase"
"YDR155C","489","647","Cyclosporin A-sensitive Proline Rotamase"
"YDR155C","489","647","Cyclosporin A-sensitive Proline Rotamase"
"YDR155C","489","654","Cyclosporin A-sensitive Proline Rotamase"
"YDR155C","489","654","Cyclosporin A-sensitive Proline Rotamase"
"YDR155C","489","659","Cyclosporin A-sensitive Proline Rotamase"
"YDR155C","489","664","Cyclosporin A-sensitive Proline Rotamase"
"YDR155C","489","675","Cyclosporin A-sensitive Proline Rotamase"
"YDR155C","489","687","Cyclosporin A-sensitive Proline Rotamase"
"YDR155C","489","692","Cyclosporin A-sensitive Proline Rotamase"
"YDR155C","489","735","Cyclosporin A-sensitive Proline Rotamase"
"YDR156W","414","535","RNA Polymerase A"
"YDR156W","414","536","RNA Polymerase A"
"YDR156W","414","541","RNA Polymerase A"
"YDR156W","414","547","RNA Polymerase A"
"YDR156W","414","551","RNA Polymerase A"
"YDR156W","414","552","RNA Polymerase A"
"YDR156W","414","557","RNA Polymerase A"
"YDR156W","414","578","RNA Polymerase A"
"YDR156W","414","589","RNA Polymerase A"
"YDR156W","414","594","RNA Polymerase A"
"YDR156W","414","931","RNA Polymerase A"
"YDR156W","414","1373","RNA Polymerase A"
"YDR158W","1098","1224","HOMoserine requiring"
"YDR158W","1098","1229","HOMoserine requiring"
"YDR158W","1098","1234","HOMoserine requiring"
"YDR158W","1098","1242","HOMoserine requiring"
"YDR158W","1098","1247","HOMoserine requiring"
"YDR158W","1098","1256","HOMoserine requiring"
"YDR158W","1098","1264","HOMoserine requiring"
"YDR158W","1098","1357","HOMoserine requiring"
"YDR158W","1098","1384","HOMoserine requiring"
"YDR161W","1164","1281","Assembly Chaperone of RpL4"
"YDR161W","1164","1287","Assembly Chaperone of RpL4"
"YDR161W","1164","1395","Assembly Chaperone of RpL4"
"YDR161W","1164","1433","Assembly Chaperone of RpL4"
"YDR162C","711","1228","Nap1 Binding Protein"
"YDR162C","711","1234","Nap1 Binding Protein"
"YDR163W","528","687","Complexed With Cef1p"
"YDR164C","2175","2396","SECretory"
"YDR164C","2175","2399","SECretory"
"YDR165W","1335","1460","Transfer RNA Methyltransferase"
"YDR165W","1335","1465","Transfer RNA Methyltransferase"
"YDR165W","1335","1493","Transfer RNA Methyltransferase"
"YDR165W","1335","1998","Transfer RNA Methyltransferase"
"YDR166C","2916","3064","SECretory"
"YDR167W","621","738","TATA binding protein-Associated Factor"
"YDR167W","621","743","TATA binding protein-Associated Factor"
"YDR167W","621","748","TATA binding protein-Associated Factor"
"YDR167W","621","753","TATA binding protein-Associated Factor"
"YDR167W","621","766","TATA binding protein-Associated Factor"
"YDR167W","621","812","TATA binding protein-Associated Factor"
"YDR167W","621","845","TATA binding protein-Associated Factor"
"YDR168W","1521","1651","Cell Division Cycle"
"YDR168W","1521","1659","Cell Division Cycle"
"YDR168W","1521","1676","Cell Division Cycle"
"YDR168W","1521","1684","Cell Division Cycle"
"YDR168W","1521","1692","Cell Division Cycle"
"YDR168W","1521","1818","Cell Division Cycle"
"YDR168W","1521","1832","Cell Division Cycle"
"YDR169C","1542","2139","Sin Three Binding protein"
"YDR169C","1542","2301","Sin Three Binding protein"
"YDR171W","1128","1281","Heat Shock Protein"
"YDR171W","1128","1289","Heat Shock Protein"
"YDR171W","1128","1297","Heat Shock Protein"
"YDR171W","1128","1298","Heat Shock Protein"
"YDR171W","1128","1308","Heat Shock Protein"
"YDR172W","2058","2168","SUPpressor"
"YDR172W","2058","2175","SUPpressor"
"YDR172W","2058","2280","SUPpressor"
"YDR172W","2058","2287","SUPpressor"
"YDR172W","2058","2287","SUPpressor"
"YDR172W","2058","2294","SUPpressor"
"YDR172W","2058","2296","SUPpressor"
"YDR172W","2058","2301","SUPpressor"
"YDR173C","1068","1270","ARGinine requiring"
"YDR174W","741","930","High MObility group (HMG) family"
"YDR174W","741","936","High MObility group (HMG) family"
"YDR174W","741","936","High MObility group (HMG) family"
"YDR174W","741","942","High MObility group (HMG) family"
"YDR174W","741","942","High MObility group (HMG) family"
"YDR174W","741","944","High MObility group (HMG) family"
"YDR174W","741","948","High MObility group (HMG) family"
"YDR174W","741","950","High MObility group (HMG) family"
"YDR174W","741","1138","High MObility group (HMG) family"
"YDR174W","741","2114","High MObility group (HMG) family"
"YDR175C","960","1178","Ribosomal Small subunit of Mitochondria"
"YDR175C","960","1184","Ribosomal Small subunit of Mitochondria"
"YDR175C","960","1192","Ribosomal Small subunit of Mitochondria"
"YDR175C","960","1527","Ribosomal Small subunit of Mitochondria"
"YDR175C","960","2158","Ribosomal Small subunit of Mitochondria"
"YDR176W","2109","2248",""
"YDR176W","2109","2249",""
"YDR176W","2109","2471",""
"YDR177W","648","750","UBiquitin-Conjugating"
"YDR177W","648","797","UBiquitin-Conjugating"
"YDR177W","648","799","UBiquitin-Conjugating"
"YDR177W","648","803","UBiquitin-Conjugating"
"YDR177W","648","808","UBiquitin-Conjugating"
"YDR177W","648","818","UBiquitin-Conjugating"
"YDR177W","648","826","UBiquitin-Conjugating"
"YDR177W","648","846","UBiquitin-Conjugating"
"YDR177W","648","852","UBiquitin-Conjugating"
"YDR177W","648","857","UBiquitin-Conjugating"
"YDR177W","648","862","UBiquitin-Conjugating"
"YDR177W","648","867","UBiquitin-Conjugating"
"YDR177W","648","875","UBiquitin-Conjugating"
"YDR177W","648","911","UBiquitin-Conjugating"
"YDR177W","648","956","UBiquitin-Conjugating"
"YDR178W","546","818","Succinate DeHydrogenase"
"YDR178W","546","836","Succinate DeHydrogenase"
"YDR178W","546","843","Succinate DeHydrogenase"
"YDR178W","546","844","Succinate DeHydrogenase"
"YDR178W","546","849","Succinate DeHydrogenase"
"YDR178W","546","851","Succinate DeHydrogenase"
"YDR178W","546","856","Succinate DeHydrogenase"
"YDR178W","546","927","Succinate DeHydrogenase"
"YDR178W","546","928","Succinate DeHydrogenase"
"YDR178W","546","1169","Succinate DeHydrogenase"
"YDR179C","489","602","Cop9 SigNalosome subunit"
"YDR179C","489","607","Cop9 SigNalosome subunit"
"YDR179C","489","656","Cop9 SigNalosome subunit"
"YDR179C","489","672","Cop9 SigNalosome subunit"
"YDR179W-A","1392","1582","Nucleus-Vacuole Junction"
"YDR179W-A","1392","1625","Nucleus-Vacuole Junction"
"YDR179W-A","1392","1653","Nucleus-Vacuole Junction"
"YDR180W","4482","4682","Sister Chromatid Cohesion"
"YDR181C","1446","1674","Something About Silencing"
"YDR181C","1446","1682","Something About Silencing"
"YDR182W","1476","1656","Cell Division Cycle"
"YDR182W","1476","1691","Cell Division Cycle"
"YDR182W-A","204","493",""
"YDR182W-A","204","1650",""
"YDR183C-A","258","842",""
"YDR183C-A","258","1021",""
"YDR183W","693","942","Phosducin-Like Protein"
"YDR183W","693","1134","Phosducin-Like Protein"
"YDR184C","885","1160","Aip Three Complex"
"YDR184C","885","1176","Aip Three Complex"
"YDR185C","540","865","UnProceSsed"
"YDR185C","540","888","UnProceSsed"
"YDR186C","2634","2971","Srp-iNDependent targeting"
"YDR188W","1641","1798","Chaperonin Containing TCP-1"
"YDR188W","1641","1804","Chaperonin Containing TCP-1"
"YDR188W","1641","1852","Chaperonin Containing TCP-1"
"YDR188W","1641","1858","Chaperonin Containing TCP-1"
"YDR188W","1641","1871","Chaperonin Containing TCP-1"
"YDR188W","1641","2292","Chaperonin Containing TCP-1"
"YDR188W","1641","2576","Chaperonin Containing TCP-1"
"YDR189W","2001","2145","Suppressor of Loss of Ypt1"
"YDR189W","2001","2162","Suppressor of Loss of Ypt1"
"YDR189W","2001","2170","Suppressor of Loss of Ypt1"
"YDR190C","1392","1568","RuVB-like"
"YDR190C","1392","1654","RuVB-like"
"YDR190C","1392","1737","RuVB-like"
"YDR191W","1113","1265","Homolog of SIR Two (SIR2)"
"YDR191W","1113","1289","Homolog of SIR Two (SIR2)"
"YDR192C","1293","1463","NUclear Pore"
"YDR192C","1293","1831","NUclear Pore"
"YDR194C","1995","2145","Mitochondrial Splicing System"
"YDR194C","1995","2175","Mitochondrial Splicing System"
"YDR194C","1995","2184","Mitochondrial Splicing System"
"YDR195W","1602","1934","RNA End Formation"
"YDR195W","1602","2110","RNA End Formation"
"YDR196C","726","801",""
"YDR196C","726","806",""
"YDR196C","726","812",""
"YDR196C","726","830",""
"YDR196C","726","846",""
"YDR196C","726","974",""
"YDR196C","726","1589",""
"YDR197W","1170","1305","Cytochrome B Synthesis"
